id,first_name,last_name,party,party_code,agreed,dissented,did_not_vote,total_votes,percent_agree_current,percent_show_up,country,European People’s Party percentage,Renew Europe percentage,Progressive Alliance of Socialists and Democrats percentage,European Conservatives and Reformists percentage,Non-attached Members percentage,Europe of Sovereign Nations percentage,The Left in the European Parliament – GUE/NGL percentage,Greens/European Free Alliance percentage,Patriots for Europe percentage,Identity and Democracy percentage
197648,Alexander,Bernhuber,European People’s Party,EPP,486,1091,267,1844,26.35574837310195,85.52060737527115,Austria,26.35574837310195,26.030368763557483,25.92190889370933,20.77006507592191,20.77006507592191,1.4099783080260302,19.522776572668114,23.91540130151844,2.4403470715835143,10.574837310195226
23868,Monika,Beňová,Non-attached Members,NI,389,1054,401,1844,21.095444685466376,78.25379609544468,Slovakia,20.010845986984815,20.715835140997832,20.77006507592191,18.058568329718007,20.119305856832973,1.7895878524945772,16.811279826464208,18.817787418655097,2.4403470715835143,10.195227765726681
197498,Robert,Biedroń,Progressive Alliance of Socialists and Democrats,SD,679,1157,8,1844,36.82212581344903,99.56616052060737,Poland,34.05639913232104,35.84598698481562,36.82212581344903,25.32537960954447,26.572668112798265,1.3015184381778742,26.35574837310195,32.15835140997831,2.331887201735358,13.557483731019524
23788,Adam,Bielan,European Conservatives and Reformists,ECR,521,1091,232,1844,28.253796095444685,87.41865509761388,Poland,21.0412147505423,20.66160520607375,20.44468546637744,28.253796095444685,19.305856832971802,2.0607375271149677,16.54013015184382,18.492407809110627,3.036876355748373,13.394793926247289
197435,Gabriele,Bischoff,Progressive Alliance of Socialists and Democrats,SD,659,1145,40,1844,35.73752711496746,97.83080260303689,Germany,32.9175704989154,34.815618221258134,35.73752711496746,24.45770065075922,25.59652928416486,1.3557483731019524,25.867678958785252,31.453362255965295,2.386117136659436,12.960954446854664
257005,Ľuboš,Blaha,Non-attached Members,NI,49,66,47,162,30.246913580246915,70.98765432098766,Slovakia,12.345679012345679,14.19753086419753,13.580246913580247,15.432098765432098,30.246913580246915,19.1358024691358,18.51851851851852,14.814814814814813,24.074074074074073,0.0
96681,Vilija,Blinkevičiūtė,Progressive Alliance of Socialists and Democrats,SD,665,1071,108,1844,36.062906724511926,94.14316702819957,Lithuania,33.51409978308026,35.35791757049891,36.062906724511926,24.5119305856833,25.75921908893709,1.2472885032537961,25.271149674620393,30.80260303687636,2.27765726681128,13.232104121475055
256998,Rachel,Blom,Patriots for Europe,PFE,76,86,0,162,46.913580246913575,100.0,Netherlands,20.37037037037037,20.98765432098765,22.839506172839506,30.864197530864196,37.65432098765432,42.592592592592595,24.691358024691358,19.753086419753085,46.913580246913575,0.0
197449,Michael,Bloss,Greens/European Free Alliance,GREEN_EFA,596,1099,149,1844,32.32104121475054,91.91973969631236,Germany,26.030368763557483,27.765726681127983,28.091106290672453,20.390455531453362,22.234273318872017,1.13882863340564,25.379609544468547,32.32104121475054,1.9522776572668112,10.574837310195226
257073,Tobiasz,Bocheński,European Conservatives and Reformists,ECR,72,65,25,162,44.44444444444444,84.5679012345679,Poland,30.864197530864196,30.864197530864196,31.48148148148148,44.44444444444444,25.925925925925924,21.604938271604937,25.308641975308642,30.246913580246915,33.33333333333333,0.0
